ACCURACY,BATCH_SIZE,EPOCHS,LEARNING_RATE,MU,SIGMA
0.9708252576046132,32,10,0.0001,0,0.01
0,0.06018565745180047,16,10,0.01,0,1
0,0.06120575334081404,64,20,0.001,0,0.3
0,0.05630929307658904,16,10,0.0001,0,1
0,0.9760277466385824,32,15,0.0001,0,0.03
0,0.05998163827399776,16,15,0.003,0,0.03
0,0.05998163827399776,64,20,0.003,0,0.01
0,0.05855350402937876,64,15,0.01,0,1
0,0.05396307253185783,32,20,0.01,0,1
0,0.05386106294295648,32,20,0.03,0,0.03
0,0.7559930633418744,16,10,3e-05,0,0.1
0,0.05692135060999717,16,15,0.0001,0,0.3
0,0.17974089570043283,256,15,1e-06,0,0.03
0,0.1467917984381727,64,15,3e-05,0,1
0,0.9633785576816969,128,10,0.0003,0,0.01
0,0.016321534224217078,256,10,1e-06,0,1
0,0.9287973069772543,64,15,3e-05,0,0.01
0,0.9878608589207386,16,15,0.0003,0,0.03
0,0.05528919718757547,16,15,0.0001,0,0.3
0,0.07732326836670757,256,15,1e-06,0,0.01
0,0.052534938284198716,64,10,1e-06,0,0.3
0,0.18014893397243487,256,15,3e-05,0,0.3
0,0.14097725186775525,64,15,1e-06,0,0.01
0,0.15332041209137806,128,20,1e-05,0,0.3
0,0.9393042946036928,16,15,0.0003,0,0.1
0,0.42548199529539843,64,20,0.0001,0,1
0,0.13587677242572752,64,15,3e-05,0,1
0,0.1414872997818608,128,20,3e-05,0,1
0,0.6511272059451995,64,20,0.0003,0,1
0,0.07181475058959526,32,20,1e-06,0,0.3
0,0.42109558300912153,16,10,1e-06,0,0.03
0,0.023156176683078077,128,20,1e-06,0,0.3
0,0.019177802718395264,256,10,1e-06,0,0.3
0,0.925328981051892,256,10,0.0001,0,0.03
0,0.26410282567777305,16,10,1e-05,0,0.3
0,0.10762011629093135,16,20,1e-06,0,0.3
0,0.4386412323001549,64,10,0.0003,0,1
0,0.6692849128061225,64,20,0.0001,0,0.3
0,0.04151790268589231,16,15,1e-06,0,1
0,0.48128124035451775,128,10,0.0003,0,0.3
0,0.7559930633418744,16,10,3e-05,0,0.1
1,0.05692135060999717,16,15,0.0001,0,0.3
2,0.17974089570043283,256,15,1e-06,0,0.03
3,0.1467917984381727,64,15,3e-05,0,1.0
4,0.9633785576816969,128,10,0.0003,0,0.01
5,0.016321534224217078,256,10,1e-06,0,1.0
6,0.9287973069772543,64,15,3e-05,0,0.01
7,0.9878608589207386,16,15,0.0003,0,0.03
8,0.05528919718757547,16,15,0.0001,0,0.3
9,0.07732326836670757,256,15,1e-06,0,0.01
10,0.052534938284198716,64,10,1e-06,0,0.3
11,0.18014893397243487,256,15,3e-05,0,0.3
12,0.14097725186775525,64,15,1e-06,0,0.01
13,0.15332041209137806,128,20,1e-05,0,0.3
14,0.9393042946036928,16,15,0.0003,0,0.1
15,0.42548199529539843,64,20,0.0001,0,1.0
16,0.13587677242572752,64,15,3e-05,0,1.0
17,0.1414872997818608,128,20,3e-05,0,1.0
18,0.6511272059451995,64,20,0.0003,0,1.0
19,0.07181475058959526,32,20,1e-06,0,0.3
20,0.42109558300912153,16,10,1e-06,0,0.03
21,0.023156176683078077,128,20,1e-06,0,0.3
22,0.019177802718395264,256,10,1e-06,0,0.3
23,0.925328981051892,256,10,0.0001,0,0.03
24,0.26410282567777305,16,10,1e-05,0,0.3
25,0.10762011629093135,16,20,1e-06,0,0.3
26,0.4386412323001549,64,10,0.0003,0,1.0
27,0.6692849128061225,64,20,0.0001,0,0.3
28,0.04151790268589231,16,15,1e-06,0,1.0
29,0.48128124035451775,128,10,0.0003,0,0.3
